Hasil PISA 2015 Brazil dan Italia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NEGARA,KLMN,UMUR,PLING,PIBU,PBPK,PORTU,LUARJAM,MMAT,MBHS,MSNS,MOTIF,KOLAB,NILAIKOL,EMO,SOSEKO,MAT,BACA,SAINS
BRA,2,"16,33","0,5739",2,1,2,18,140,140,70,"-0,8771","-1,198","0,0333","-0,4263","-1,0404","366,496","505,416","410,639"
BRA,2,"16,17",0.55NA,4,6,6,15,300,300,120,"0,4631","-0,2385","0,4713","0,1711","0,7376","218,546","289,29","276,396"
BRA,2,"15,67",0.54NA,4,2,4,25,225,225,180,"-0,1651","-0,2882","-0,3","-0,889","-1,0821","335,09","330,798","312,984"
BRA,1,"15,92","0,5343",2,4,4,5,135,180,135,"-0,9828","0,9455","1,4758","-0,4244","-1,4588","243,632","354,939","351,908"
BRA,1,"16,33","0,5281",4,4,4,14,180,135,405,"1,8543","-0,2882","1,1483","1,0991","0,0024","567,538",629.4NA,"682,09"
BRA,2,"16,08","0,5281",4,2,4,34,200,250,100,"-0,5643","-0,7876","0,6732","-0,2511","-0,3203","413,327","571,872","512,847"
BRA,1,"16,17","0,5263",2,2,2,13,180,180,120,"0,9399","1,3264","0,4643","1,0991","-1,1396","350,819","457,544","409,989"
BRA,2,16,"0,5257",4,4,4,23,120,120,360,"0,9399","-0,1051","0,3386","-0,0436","-0,5372","471,445",4NA.707,"538,068"
BRA,2,"15,5","0,5195",6,6,6,56,240,180,240,"1,1359","-0,2882","0,0333","1,0991","0,892","544,435","542,095","549,506"
BRA,1,"16,33","0,5125",3,4,4,10,200,400,550,"0,4239","-0,2882","0,891","1,0991","-0,0481","469,111","517,894","514,559"
BRA,2,"15,5","0,5038",4,4,4,36,250,250,200,"-3,0877","0,5759","-2,1295","0,3838","-0,0245","320,254","430,782","395,117"
BRA,1,"15,67","0,4598",1,1,1,48,220,220,110,"0,6611","0,5759","0,5587","1,0991","-2,2065","405,805","491,156","476,275"
BRA,1,"15,58","0,4516",6,4,6,13,200,200,100,"-0,5616","-0,4751","0,0333","0,3838","-0,1708","306,847","374,588",319.5NA
BRA,2,"15,58","0,4448",4,1,4,32,200,200,100,"-0,2803","-0,2882",0.9NA8,"-2,0558","-0,2525","436,325","390,121","411,37"
BRA,2,"16,08","0,4431",1,6,6,24,200,200,100,"-0,0724","-0,2882",-0.15NA,"-1,3869","-0,6114","562,955","422,255","491,427"
BRA,1,"15,42","0,4236",0,0,0,9,250,250,150,"-0,3494","-1,0629","0,3386","0,0264","-3,4049","337,284","331,144","356,134"
BRA,2,"16,33","0,4148",2,2,2,4,250,250,200,"1,8543","0,5759","-0,1641","0,0264","-1,7718","430,043","430,889","412,186"
BRA,1,"16,17","0,4131",6,6,6,13,200,200,100,"0,0437","1,5899","0,7516","0,3838","1,2454","421,311","399,082","426,954"
BRA,2,"16,25","0,4131",6,6,6,9,135,90,90,"-0,2006","-0,2882","-0,214","-0,2495","0,6021","503,334","524,952","487,517"
BRA,1,"16,17","0,4131",4,5,5,19,80,80,80,"-0,9854",-0.NA05,"-0,3","-0,889","-0,8536","331,009","455,574","373,794"
BRA,2,"15,67","0,3983",4,1,4,22,300,300,200,"-0,7132",-0.NA05,"-1,7123","-0,889","-1,0343","307,607","498,893","446,476"
BRA,2,"16,25","0,3851",6,4,6,9,225,225,135,"0,2168","-0,3954","-1,039","-0,7526","0,0636","518,75","581,786","541,477"
BRA,1,16,"0,3771",4,4,4,18,180,240,60,"0,8598","0,395","0,0333","-1,5345","-0,962","461,622","557,331","528,301"
BRA,1,"16,33","0,3731",3,3,3,30,80,80,80,"-0,0056","-0,2882","-0,3","0,1004","-1,0794","310,552","402,359","384,649"
BRA,2,"15,42","0,3624",1,2,2,20,225,225,135,"-0,3263","0,5759","1,2787","0,0264","-1,9157","289,085","377,923","352,889"
BRA,1,"15,75","0,3506",4,0,4,18,225,225,135,"-0,3263","1,164","0,0333","-0,0436","-1,3203","262,623","329,509","331,681"
BRA,1,"16,08","0,3489",6,6,6,41,240,240,180,"-0,2111","-0,2882","-0,3","1,0991","0,5469","335,721","309,158","357,518"
BRA,2,"16,33","0,3376",1,1,1,19,200,200,200,"0,8101","0,5759","1,4758","1,0991","-2,4757","551,776","569,888","588,502"
BRA,1,"15,42","0,3313",1,4,4,14,180,180,120,"-0,8771","-1,2786","-0,3","-0,889","-0,9322","306,601","423,054","372,39"
